1,"Uعندما يصاب القروي بالإسهال، يقوم بإرجاع مياه المجاري المحلية.U"
2,"Uالقروي يمكنه أن يدق مسمارًا في الحائط بركلة دائرية.U"
3,"Uعندما كان القروي في الخامسة من عمره، ذهب إلى المركز التجاري ليرى سانتا. سأل سانتا ""ماذا تريد يا فتى؟ مجموعة قطار؟ دراجة؟"" رد القروي ""لا يا سانتا، أريد قاذفة صواريخ"".U"
4,"Uالقروي يحلق باستخدام سكين صيد. ""الحلاقة"" تتكون من قطع فتحة فم جديدة كل صباح. هكذا هو صلابة لحيته.U"
5,"Uالقروي لا ينام. هو ينتظر.U"
6,"Uالقروي عد إلى ما لا نهاية. مرتين.U"
8,"Uالقروي لا يرتدي ساعة. هو يقرر الوقت.U"
9,"Uالقروي يمكنه القسمة على صفر.U"
11,"Uالقروي لا يحتاج إلى GPS. العالم يتكيف معه.U"
12,"Uالقروي لا يصاب بالبرد. البرد هو الذي يصاب بالقروي.U"
13,"Uعندما ينظر القروي في المرآة، تتحطم المرآة من الخوف.U"
14,"Uالقروي تم القبض عليه مرة بدون تذكرة في القطار. تم تغريم المفتش بمبلغ 110 دولار.U"
15,"Uالقروي عضّ أفعى مرة. بعد أيام من الألم المبرح، ماتت الأفعى.U"
16,"Uعندما يدخل القروي غرفة، يهرب الظلام للاختباء.U"
17,"Uالقروي يمكنه أن يطرق بابًا دوارًا.U"
18,"Uالقروي بنى رجل ثلج من المطر مرة.U"
19,"Uالقروي لا يقرأ الكتب. هو يحدق بها حتى تعطيه المعلومات.U"
20,"Uالقروي يمكنه فك بيضة.U"
21,"Uالقروي لا يفعل الغسيل. الأوساخ تخاف من الالتصاق به.U"
22,"Uالقروي هزم الشمس في مسابقة تحديق مرة.U"
23,"Uالقروي لا يحتاج إلى مظلة. الأرض تتجنب مواجهته.U"
24,"Uالقروي يمكنه سماع لغة الإشارة.U"
25,"Uالقروي طلب مرة بيغ ماك في برجر كينغ—وحصل عليه.U"
26,"Uعندما يقوم القروي بتمرين الضغط، هو لا يرفع نفسه؛ هو يدفع الأرض للأسفل.U"
27,"Uالقروي لا يحتاج إلى واي فاي. الإنترنت يأتي إليه.U"
28,"Uالقروي هزم لوحة الموناليزا في مسابقة تحديق مرة.U"
29,"Uالقروي لا يستحم. الماء ينظف نفسه من أجله.U"
30,"Uدموع القروي تشفي كل شيء—لكن لم يبكِ قط.U"
31,"Uعندما يمشي القروي، تحدث الزلازل من الخوف.U"
32,"Uالقروي يمكنه التحدث بلغة بريل.U"
33,"Uالقروي أخاف إعصارًا حتى جعله ريحًا خفيفة.U"
34,"Uالقروي يمكنه فك مكعب روبيك بنظرة واحدة.U"
35,"Uصمت القروي مدوٍ.U"
36,"Uالقروي لا يتعرض لحروق الشمس. الشمس هي التي تحترق من القروي.U"
37,"Uالقروي لا يتجنب الرصاص. الرصاص هو الذي يتجنب القروي.U"
38,"Uالقروي تحدى الجاذبية مرة. الجاذبية خسرت.U"
39,"Uالقروي لا يحتاج إلى مصباح يدوي. الظلام يخاف منه.U"
40,"Uالقروي لا يتنفس. الهواء يأتي إليه احترامًا.U"
41,"Uالقروي فاز في مسابقة تحديق ضد ميدوسا مرة.U"
42,"Uالقروي لا يمارس اليوغا. هو ينحني الكون لإرادته.U"
43,"Uالقروي لا يحتاج إلى كلمة مرور. الحواسيب تطلب منه الوصول.U"
44,"Uالقروي لا يستخدم خريطة. الخريطة تتبعه.U"
45,"Uالقروي لا يلعب الغميضة. هو يلعب البحث والتدمير.U"
46,"Uالقروي ركل كرة قدم إلى الفضاء مرة. هي لا تزال تدور في الفضاء.U"
47,"Uالقروي لا يتعب. الوقت هو الذي ينفد له.U"
48,"Uالقروي لا ينتظر الحافلة. الحافلة تنتظره.U"
49,"Uالقروي لا يحتاج إلى ساعة منبه. الوقت يستيقظ له.U"
50,"Uالقروي فاز في لعبة شطرنج في حركة واحدة—ضد نفسه.U"
51,"Uالقروي لا يتسلق الجبال. هي تنحني له.U"
52,"Uالقروي أوقف رصاصة مسرعة بنظرة حازمة مرة.U"
53,"Uالقروي لا يرتدي نظارات شمسية. الشمس تخفت من أجله.U"
54,"Uالقروي لا يحتاج إلى هاتف. الناس يعرفون متى يريد التحدث.U"
55,"Uالقروي لا يحتاج إلى الطرق على الخشب. الخشب يطرق له.U"
56,"Uالقروي يمكنه إشعال النار من خلال التحديق في الخشب.U"
57,"Uالقروي لا يستخدم السلالم. هو يجعل الجاذبية تقوم بالعمل.U"
58,"Uالقروي لا يحلم. الواقع يتكيف مع أفكاره.U"
59,"Uالقروي فاز في لعبة سوليتير باستخدام مجموعة أوراق لشخص آخر.U"
60,"Uالقروي لا يملك أعداء. فقط معجبين في حالة إنكار.U"
61,"Uالقروي لا يتعرق. مساماته ترفض أن تسيء إليه.U"
62,"Uالقروي لا يطرف. العالم يبطئ من أجله.U"
63,"Uالقروي أخاف عاصفة رعدية حتى جعل السماء صافية.U"
64,"Uالقروي لا يحتاج إلى الطعام. الطعام يغذي نفسه في وجوده.U"
65,"Uالقروي لا يقود السيارات. السيارات تقود نفسها لتبهره.U"
66,"Uالقروي يمكنه حل متاهة من خلال المشي في خط مستقيم.U"
67,"Uالقروي لا يرتدي معطفًا. الطقس يتكيف معه.U"
68,"Uالقروي لا يقاتل. وجوده ينهي الحروب.U"
69,"Uالقروي لا يشرب القهوة. القهوة تحصل على طاقتها منه.U"
70,"Uالقروي لا يكتب. الكلمات ترتب نفسها لترضيه.U"
71,"Uالقروي لا يتبع الاتجاهات. هو هو الاتجاه.U"
72,"Uالقروي لا يحتاج إلى الحظ. الحظ يحتاج إليه.U"
73,"Uالقروي مشى مرة عبر الغابة. الأشجار لا تزال تهمس باسمه.U"
74,"Uالقروي لا يبني الجسور. الأنهار تتوقف من أجله.U"
75,"Uالقروي لا يستخدم الأدوات. المواد تشكل نفسها من أجله.U"
76,"Uالقروي لا يقيس الوقت. الوقت يتوافق مع جدوله.U"
77,"Uالقروي فاز مرة ضد حاسوب خارق في لعبة إكس-أو. معصوب العينين.U"
78,"Uالقروي لا يركض. خط النهاية يأتي إليه.U"
79,"Uالقروي لا يحتاج إلى درع. الكون يحيط به درعًا.U"
80,"Uالقروي لا يكسر القواعد. القواعد تكسر نفسها في وجوده.U"
81,"Uالقروي لا يتردد. العالم يتحرك من أجله.U"
82,"Uالقروي لا يحتاج إلى إذن. هو السلطة.U"
83,"Uالقروي لا يحتاج إلى مرآة. هو يعلم أنه لا يُضاهى.U"
84,"Uالقروي لا يشاهد التلفاز. العروض تؤدي له.U"
85,"Uالقروي لا يحتاج إلى إعادة شحن. الطاقة تتكيف معه.U"
86,"Uالقروي لا يخلق الفن. الفن يخلق نفسه حوله.U"
87,"Uالقروي لا يطارد الأحلام. الأحلام تطارده.U"
88,"Uالقروي لا يركب القطارات. القطارات تتوقف من أجله.U"
89,"Uالقروي لا يحتاج إلى الفوز. النصر دائمًا له.U"
90,"Uالقروي لا يحتاج إلى قتال. هو قد فاز بالفعل.U"
91,"Uالقروي لا يخطئ. الأخطاء تتعلم منه.U"
92,"Uالقروي يمكنه فتح باب مغلق بالفعل.U"
93,"Uالقروي يمكنه عكس الزمن بمجرد التفكير فيه.U"
94,"Uالقروي لا يتعب من الفوز. الفوز هو الذي يتعب منه.U"
95,"Uالقروي لا يحتاج إلى الاتجاهات. هو يقرر أين يذهب.U"
96,"Uالقروي لا يحتاج إلى سبب ليكون رائعًا. هو ببساطة كذلك.U"
97,"Uالقروي لا يحتاج إلى كرسي. الأرض تقرر أن تقف له.U"
98,"Uالقروي نظر مرة إلى صخرة حتى بدأت تفكر بنفسها.U"
99,"Uالقروي لا يحتاج إلى أصدقاء. هو يجعلهم ينحنون احترامًا له.U"
100,"Uقوة القروي تقاس من قبل الكون نفسه.U"
101,"Uالقروي لا يحتاج إلى مفتاح، الأبواب تفتح له من تلقاء نفسها.U"
102,"Uالقروي يمكنه ركل الحائط حتى يصبح الجدار طاولة طعام.U"
103,"Uعندما يبتسم القروي، تنقلب الكواكب من شدة الإعجاب.U"
104,"Uالقروي ليس بحاجة إلى رخصة قيادة، السيارات تقف له احترامًا.U"
105,"Uالقروي لا يركض خلف الحافلة، الحافلة تسرع لتلحق به.U"
106,"Uالقروي يمكنه رفع الشمس عن الأرض لمجرد التحديق فيها.U"
107,"Uالقروي يستطيع أن يكسر السكون بمجرد صمت طويل. U"
108,"Uالقطارات لا تحتاج إلى سكة حديد عندما يمر القروي.U"
109,"Uالقروي لا يحتاج إلى قلم، الأفكار تكتب نفسها من أجله.U"
110,"Uالقروي لم يعد يضيع، الطريق هو الذي يجد طريقه إليه.U"
111,"Uإذا دخل القروي البحر، الأمواج تبتعد عن الطريق.U"
112,"Uالقروي لا يستخدم كهرباء، التيار الكهربائي يتدفق في وجوده.U"
113,"Uالقروي ليس بحاجة إلى يد ليرتفع، الجاذبية تتراجع أمامه.U"
114,"Uالقروي يضع قدمه على الأرض فيتوقف الزمن احترامًا له.U"
115,"Uالقروي يفتح فمًا فيبتسم الكون بأسره.U"
116,"Uالقروي يختصر المسافات بخطوة واحدة فقط.U"
117,"Uعندما يستنشق القروي هواء، الجبال تتنفس من جديد.U"
118,"Uالقروي لا يتبع قوانين الطبيعة، هو يكتبها بنفسه.U"
119,"Uالقروي لا يلتفت، العالم يلف نفسه حوله.U"
120,"Uالقروي لا يسقط أبداً، الأرض هي التي تتقوس لاستقباله.U"
121,"Uالقروي يمكنه رؤية الظلام حتى في أشد الأوقات ظلمة.U"
122,"Uالقروي لا يخاف من العواصف، العواصف تخاف منه.U"
123,"Uالقروي لا يحتاج إلى جواز سفر، الحدود تفتح له من تلقاء نفسها.U"
124,"Uالقروي قادر على إيقاف الزمن بنظرة واحدة.U"
125,"Uالقروي لا يحتاج إلى عكاز، الأرض تحتفظ به في مكانه.U"
126,"Uالقروي يركب الرياح بدلًا من أن يركب السيارات.U"
127,"Uالقروي لا يراه الناس، هم فقط يشعرون به.U"
128,"Uعندما يبتسم القروي، حتى الظلال تبتسم من وراءه.U"
129,"Uالقروي لا يحتاج إلى أقفال، الأبواب تفتح له من تلقاء نفسها.U"
130,"Uالقروي يستطيع أن يجعل السماء تنزل لأجله فقط.U"
131,"Uالقروي يسبب الحرارة عندما يدخل إلى القطب الشمالي.U"
132,"Uالقروي يمكنه أن يبني برج إيفل في أقل من دقيقة.U"
133,"Uالقروي يبتسم فلا تعود الغيوم موجودة في السماء.U"
134,"Uعندما يلتفت القروي، يزداد ضوء النهار.U"
135,"Uالقروي يحكم المدينة بمجرد النظر إليها.U"
136,"Uالقروي يستطيع رفع الزمان والمكان دون أن يتعب.U"
137,"Uعندما يطلب القروي الماء، البحار تجري لتقديمه له.U"
138,"Uالقروي يستطيع أن يوقف عقارب الساعة لمجرد أن يفكر في ذلك.U"
139,"Uالقروي يركل الأرض فتحدث الزلازل من شدة القوة.U"
140,"Uالقروي لا يقتصر على الجاذبية، هو يتحكم بها بكل سهولة.U"
141,"Uالقروي لا يلتقط الصور، الصور تلتقطه لأنه ليس مثل أي شخص آخر.U"
142,"Uالقروي لا يحتاج إلى بدلة، الكون يتناسب معه تلقائيًا.U"
143,"Uعندما يبتسم القروي، تُسجل الطيور على الأشجار أشعارًا جديدة.U"
144,"Uالقروي عندما يمشي، تتابع النيازك خطواته تقديرًا له.U"
145,"Uالقروي يستطيع أن يحول الماء إلى ذهب بمجرد التفكير فيه.U"
146,"Uالقروي لا يحتاج إلى ساعات العمل، الوقت يعمل من أجله.U"
147,"Uالقروي لا يلتقط الأنفاس، هو الذي يعطي الحياة للحياة نفسها.U"
148,"Uعندما يدخل القروي إلى البحر، تبتعد الأسماك لأقصى مسافة احترامًا له.U"
149,"Uالقروي يستطيع تغيير مجرى الأنهار عندما يضع قدمه على الأرض.U"
150,"Uالقروي لا يحتاج إلى قوائم، العقول تتناغم من تلقاء نفسها معه.U"
151,"Uالقروي لا يحتاج إلى نظارات شمسية، الشمس تظل بعيدة عنه.U"
152,"Uالقروي يبتسم فيبتعد الحزن تلقائيًا.U"
153,"Uالقروي يستطيع ربط الجبال مع بعضها بنفسه، ثم يرسلها إلى السماء.U"
154,"Uالقروي يمكنه التحدث مع المخلوقات الفضائية دون أن يتحرك من مكانه.U"
155,"Uالقروي يستطيع أن يغير الواقع لمجرد أن يرفع حاجبيه.U"
156,"Uالقروي لا يستعين بالكواكب، الكواكب تراقب خطواته بإعجاب.U"
157,"Uالقروي يستطيع أن يغير المسار الكوني بأدنى حركة من يده.U"
158,"Uالقروي لا يحتاج إلى خريطة، الأرض هي التي تريه الطريق.U"
159,"Uالقروي لا يبني الجسور، الجسور تَتْبَعُهُ مباشرة.U"
160,"Uعندما يمر القروي، ترتد الجاذبية عن مساره بخوف.U"
161,"Uالقروي لا يستعين بالطقس، الطقس يعدل نفسه من أجله.U"
162,"Uالقروي يستطيع بناء العوالم كما يريد ويعيد تشكيلها متى شاء.U"
163,"Uالقروي لا يحتاج إلى كلمات، الكلمات تأتي إليه طواعية.U"
164,"Uالقروي يستطيع أن يفتح نفقًا في الزمن ويعبره كما يشاء.U"
165,"Uالقروي لا يحتاج إلى صوت، العالم يسمعه دون أن يتكلم.U"
166,"Uعندما يعبر القروي الغابة، الأشجار تنحني له احترامًا.U"
167,"Uالقروي يمكنه إشعال النار بالنظر إليها فقط.U"
168,"Uالقروي يستطيع أن يخلق العواصف ثم يهدئها فورًا.U"
169,"Uالقروي يستطيع أن يتكلم مع الرياح وتفهمه.U"
170,"Uالقروي يتحكم في الدورة الطبيعية للحياة، الأرض تطيع أوامره.U"
171,"Uالقروي لا يحتاج إلى الحياة، الحياة هي التي تحتاجه.U"
172,"Uالقروي لا يستعرض قوته، القوة تتساقط عند قدميه مثل الأمطار.U"
173,"Uعندما يدخل القروي إلى غابة، الأشجار تقدم له التحية بإنحناء عميق.U"
174,"Uالقروي يستطيع بناء جسر من غيوم حتى يصل إلى القمر.U"
175,"Uالقروي يستطيع أن يعيد تشكيل الجبال بتفكير واحد.U"
176,"Uالقروي لا يرتاح، هو السبب في أن الكون يحافظ على استقراره.U"
177,"Uالقروي يستطيع أن يجعل الليل يظهر في النهار كما يشاء.U"
178,"Uالقروي لا يتسلق الجبال، الجبال تقفز إليك بشكل طبيعي من تلقاء نفسها.U"
179,"Uالقروي يستطيع أن يغير مجرى الأنهار بأدنى حركة من يده.U"
180,"Uالقروي يستطيع أن يتحكم في الزمان والمكان عن بعد.U"
181,"Uالقروي يستطيع أن يفك أي عقدة في العالم بخطوة واحدة فقط.U"
182,"Uالقروي لا يحتاج إلى مفاتيح، الأبواب تنفتح له من تلقاء نفسها.U"
183,"Uالقروي يستطيع أن يرفع الزمان والمكان بكل يده.U"
184,"Uالقروي يمكنه أن يتحكم في مجرى الفصول بكل راحة.U"
185,"Uالقروي يستطيع أن يفك الألغاز دون أن يتعب عقلَه.U"
186,"Uعندما يلمس القروي الأرض، يرتعد الكون من قوته.U"
187,"Uالقروي لا يحتاج إلى خطط، الكون يضع خططًا له.U"
188,"Uالقروي يستطيع أن يجعل الشمس تشرق في أي وقت يشاء.U"
189,"Uالقروي لا يحتاج إلى أرقام، هو الذي يحدد القيم بنفسه.U"
190,"Uالقروي يستطيع أن يغير مجرى الأنهار بأدنى حركة من يده.U"
191,"Uالقروي يستطيع أن يتحكم في الزمان والمكان عن بعد.U"
192,"Uالقروي يستطيع أن يفك أي عقدة في العالم بخطوة واحدة فقط.U"
193,"Uالقروي يستطيع أن يوقف الزمن بكل بساطة.U"
194,"Uالقروي لا يحتاج إلى وسائل النقل، الكون يتحرك من أجله.U"
195,"Uالقروي يستطيع أن يغير مسار النجوم بأقل حركة من يده.U"
196,"Uالقروي يستطيع أن يصنع الجبال والأودية بمجرد التفكير بها.U"
197,"Uالقروي يستطيع أن يوجه الرياح كما يشاء فقط بنظرة واحدة.U"
198,"Uالقروي يستطيع أن يغير وجه الأرض عندما يشعر بالملل.U"
199,"Uالقروي لا يحتاج إلى تقنية، لأنه هو الابتكار نفسه.U"
200,"Uالقروي يستطيع أن يجعل الليل أزرق في النهار. فقط لأنه يستطيع.U"
201,"Uالقروي لا يحتاج إلى شواطئ، البحر يذهب إليه بنفسه.U"
202,"Uالقروي لا يستعمل قلم رصاص، الأقلام تختار الكتابة له.U"
203,"Uالقروي يمكنه تفجير قنبلة بأصبعين فقط. وبابتسامة.U"
204,"Uالقروي يستطيع أن يجعل الدقائق تتوقف، لكنه لا يفضل ذلك لأنها تشعر بالخجل.U"
205,"Uالقروي لا يلعب الشطرنج، القطع تلعب نفسها له.U"
206,"Uالقروي يستطيع أن يسبح في الماء بدون أن يبتل، الماء يهرب من حوله.U"
207,"Uالقروي يستطيع أن يوقف السيارة بتوجيه إصبعه فقط، السيارات تلتزم بأوامره كأنها قطط.U"
208,"Uالقروي يمكنه أن يمشي عبر جدار من النار بدون أن يحترق، النار تعتذر له.U"
209,"Uالقروي يرفع الحديد بمجرد أن يهمس له، الحديد يحترم قوته.U"
210,"Uالقروي لا يلبس ملابس، الملابس تلبسه. وهو لا يتذمر أبدًا عن القياسات.U"
211,"Uعندما يلعب القروي التنس، الكرة تشعر بالذنب إذا لم تسجل نقطة.U"
212,"Uالقروي يستطيع أن يغير حالة الطقس بنظرة، الطيور تأخذ أجازة من العمل.U"
213,"Uالقروي يستطيع أن يبني برجًا من الرمل في الفضاء الخارجي.U"
214,"Uالقروي لا يحتاج إلى طعام، الطعام يأتي إليه لأن الأطعمة نفسها تخاف من الجوع.U"
215,"Uالقروي ليس بحاجة إلى صديق، هو يحب الوحدة، أما الجميع يحبون رفقته.U"
216,"Uالقروي لا يركب القطار، القطار ينتظره ليتحقق من وصوله.U"
217,"Uالقروي لا يكتب رسائل، الرسائل تكتب نفسها وتنتظر تأكيده.U"
218,"Uالقروي يستطيع أن يحيي الشجرة بمجرد أن يطأ قدمه على الأرض.U"
219,"Uالقروي يستطيع أن يفتح أي باب، لأنه يعرف مكونات مفاتيح الأبواب أكثر من صانعيها.U"
220,"Uالقروي لا يذهب للغابة، الغابة تأتي إليه بكل فخر.U"
221,"Uالقروي يستطيع أن يقود الرياح إلى الاتجاه المعاكس دون أن يلمسها.U"
222,"Uالقروي يركب الأمواج دون لوح، الأمواج تخاف من أن تغرقه.U"
223,"Uالقروي لا يعاني من أزمة مياه، الماء يعاني من أزمة كيف يقترب منه.U"
224,"Uالقروي عندما يبتسم، السماء تبتسم حتى وإن كانت غائمة.U"
225,"Uالقروي لا يحتاج إلى أرقام لقياس القوة، الأرقام تتعلم من قوته.U"
226,"Uالقروي يستطيع أن يجعل الشجرة تنمو بطريقة عكسية، حتى الورق ينسحب احترامًا له.U"
227,"Uعندما يذهب القروي للتسوق، الأسعار تطلب منه خصمًا إضافيًا.U"
228,"Uالقروي يستطيع أن يجعل الصباح يستيقظ دون ساعة تنبيه، ساعات العالم تحترم رغبته في الراحة.U"
229,"Uالقروي يستطيع أن يحل أي معادلة رياضية بنظرة فقط، المعادلة تتفكك وتطلب المغفرة.U"
230,"Uالقروي يستطيع أن يعيد تشكيل الحجارة بشكل فني، الصخور تريده أن يصمم لها تمثالاً فنيًا.U"
231,"Uالقروي لا يحتاج إلى إشارة مرور، إشارات المرور تخضع لتوجيهاته كأنها إشارات مرورية للطيور.U"
232,"Uالقروي يستطيع أن يصنع جوًا جديدًا في الغرفة بنظرة فقط، حتى المكيفات تشعر بالغيرة.U"
233,"Uالقروي يمكنه أن يتسلل داخل البحر من دون أن يبلل قدميه، البحر يحترم كل خطوة له.U"
234,"Uالقروي يستطيع أن يجعل العالم ينقلب رأسًا على عقب فقط بابتسامة واحدة.U"
235,"Uالقروي لا يركب الدراجة، الدراجة تقود نفسها لتكون تحت قدميه.U"
236,"Uالقروي يستطيع أن يعبر الجبال دون أن يمسها، الجبال تتدحرج بعيدًا احترامًا له.U"
237,"Uالقروي لا يخاف من الظلام، الظلام يخاف منه ويبكي كلما مرّ بجانبه.U"
238,"Uعندما يجلس القروي، تجلس معه الحياة نفسها، وتنتظر أن يقول لها ماذا تفعل.U"
239,"Uالقروي يستطيع أن يطفئ النار بالهمس فقط، النار تحترق من الخجل بعد سماع همساته.U"
240,"Uالقروي يستطيع أن يعيد بناء الكواكب كما لو كان يبني قريته الخاصة.U"
241,"Uالقروي يستطيع أن يجعل الطيور تطير في الليل، حتى وإن كان القمر مستعدًا لإخفاء نفسه.U"
242,"Uالقروي يمكنه أن يجعل الجبال تتسلق نفسها، وذلك لمجرد أنها تشتاق إليه.U"
243,"Uالقروي يستطيع أن يجعل الرياح تتوقف من أجل استراحة قصيرة، الرياح تقدر مجهوداته.U"
244,"Uالقروي لا يحتاج إلى ساعة، الوقت ينتظره على طرف إصبعه.U"
245,"Uالقروي يستطيع أن يخلق الفصول الأربعة في دقائق فقط، وكل فصل ينصاع له مثل العاصفة.U"
246,"Uالقروي لا يحتاج إلى أبطال، الأبطال يجتمعون لمساعدته عندما يطلب منهم ذلك.U"
247,"Uالقروي يستطيع أن يضحك حتى يغير النتيجة النهائية لمباريات كرة القدم.U"
248,"Uالقروي يستطيع أن يمشي على الجمر، حتى الجمر يفر هربًا من قدميه.U"
249,"Uالقروي يستطيع أن يجعل الزهور تتفتح لمجرد أن يمر بجانبها، حتى الورود تشكره.U"
250,"Uالقروي يستطيع أن يربح حربًا في دقيقة، وتكلفة الحروب تصبح مجانية بسبب روحه الطيبة.U"
